Name,Symbol,Market Cap (USD),Price (USD),Circulating Supply (USD),Volume (24h),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,"$275,430,853,646","$14,860.42","18,534,525 BTC","$555,418,216,916",1.08%,7.53%,13.23%
Ethereum,ETH,"$46,197,014,721",$407.74,"113,300,295 ETH","$17,169,719,517",1.12%,6.43%,6.13%
Tether,USDT,"$16,872,600,479",$1.00,"16,858,599,610 USDT *","$48,567,143,741",0.04%,0.06%,0.05%
XRP,XRP,"$10,954,155,724",$0.241895,"45,284,665,028 XRP *","$43,481,047,106",1.23%,2.75%,-0.21%
Bitcoin Cash,BCH,"$4,562,916,691",$245.80,"18,563,844 BCH","$2,085,214,980",0.63%,4.17%,-6.26%
Chainlink,LINK,"$4,061,148,536",$10.40,"390,509,556 LINK *","$1,340,780,092",1.34%,2.51%,-8.02%
Binance Coin,BNB,"$3,895,817,441",$26.98,"144,406,561 BNB *","$291,895,919",-1.05%,2.43%,-9.77%
Litecoin,LTC,"$3,692,240,244",$56.10,"65,814,203 LTC","$4,704,749,149",0.79%,6.06%,3.98%
Polkadot,DOT,"$3,504,682,510",$4.11,"852,647,705 DOT *","$549,889,252",0.91%,3.67%,1.21%
Cardano,ADA,"$2,917,132,849",$0.093761,"31,112,484,646 ADA","$62,354,742,169",0.79%,-0.51%,-2.96%
USD Coin,USDC,"$2,874,911,521",$1.00,"2,874,730,059 USDC *","$494,512,802",0.00%,-0.01%,0.01%
Bitcoin SV,BSV,"$2,874,891,322",$154.88,"18,562,208 BSV","$719,632,305",0.50%,2.94%,-6.93%
EOS,EOS,"$2,257,697,956",$2.41,"937,503,769 EOS *","$2,904,666,122",1.15%,3.62%,-8.30%
Monero,XMR,"$2,038,060,050",$114.83,"17,748,923 XMR","$2,032,602,775",1.88%,-2.40%,-7.32%
Wrapped Bitcoin,WBTC,"$1,811,712,336","$14,815.95","122,281 WBTC *","$58,846,560",0.88%,7.61%,13.01%
TRON,TRX,"$1,737,401,097",$0.024245,"71,659,657,369 TRX *","$155,864,898,418",0.06%,1.10%,-8.79%
Crypto.com Coin,CRO,"$1,662,223,660",$0.078562,"21,157,990,868 CRO *","$44,426,416",-0.31%,2.25%,-11.85%
Stellar,XLM,"$1,570,407,000",$0.075185,"20,887,239,031 XLM *","$2,511,014,531",1.18%,1.46%,-2.15%
Tezos,XTZ,"$1,382,853,954",$1.85,"749,031,139 XTZ *","$2,455,923,217",0.24%,0.66%,-4.64%
UNUS SED LEO,LEO,"$1,251,217,930",$1.25,"999,498,893 LEO *","$10,190,383",-0.69%,-0.07%,-1.25%
Neo,NEO,"$992,870,404",$14.08,"70,538,831 NEO *","$561,171,616",-0.13%,0.64%,-7.47%
Dai,DAI,"$950,993,360",$1.01,"944,436,854 DAI *","$91,326,956",0.03%,-0.02%,0.49%
Cosmos,ATOM,"$893,876,918",$4.35,"205,350,282 ATOM *","$171,138,973",0.55%,0.74%,-5.07%
NEM,XEM,"$890,261,611",$0.098918,"8,999,999,999 XEM *","$2,976,068,221",0.97%,-0.40%,3.70%
Filecoin,FIL,"$819,225,645",$28.82,"28,421,968 FIL","$99,425,233",0.85%,0.71%,-11.24%
Huobi Token,HT,"$731,109,401",$3.53,"207,039,130 HT *","$113,375,760",0.77%,2.33%,-15.66%
Binance USD,BUSD,"$691,804,224",$1.00,"691,804,224 BUSD *","$571,110,658",0.00%,0.01%,0.00%
IOTA,MIOTA,"$650,747,140",$0.234121,"2,779,530,283 MIOTA *","$13,210,214",1.46%,-1.29%,-9.16%
Dash,DASH,"$629,149,392",$64.21,"9,798,575 DASH","$676,876,166",0.36%,1.60%,-3.76%
VeChain,VET,"$606,742,093",$0.009434,"64,315,576,989 VET *","$116,389,554",0.62%,3.64%,-7.44%
THETA,THETA,"$587,812,692",$0.587813,"1,000,000,000 THETA *","$12,718,010",0.65%,3.06%,-2.92%
Ethereum Classic,ETC,"$573,682,781",$4.93,"116,313,299 ETC","$1,525,840,575",0.85%,4.30%,-7.81%
Zcash,ZEC,"$558,991,449",$53.71,"10,406,688 ZEC","$475,924,415",0.86%,1.13%,-4.58%
Maker,MKR,"$538,639,893",$536.95,"1,003,154 MKR *","$37,973,497",2.06%,5.78%,2.72%
Uniswap,UNI,"$451,539,588",$2.10,"214,529,007 UNI *","$376,077,075",15.11%,3.20%,-18.08%
OMG Network,OMG,"$393,210,363",$2.80,"140,245,398 OMG *","$472,327,441",2.97%,-0.68%,-5.38%
Celsius,CEL,"$391,342,237",$1.64,"238,863,520 CEL *","$4,753,844",-0.32%,12.38%,28.85%
UMA,UMA,"$382,267,459",$6.90,"55,401,585 UMA *","$9,889,642",5.50%,6.89%,-2.11%
Compound,COMP,"$351,131,366",$86.38,"4,065,043 COMP *","$103,860,355",2.08%,2.14%,-11.11%
Waves,WAVES,"$348,393,813",$3.37,"103,454,818 WAVES *","$42,569,172",4.09%,7.79%,12.06%
Dogecoin,DOGE,"$330,599,785",$0.002604,"126,976,568,499 DOGE","$73,983,995,080",2.77%,3.61%,1.62%
Ontology,ONT,"$329,806,452",$0.425122,"775,792,432 ONT *","$1,017,680,355",1.85%,3.15%,-5.99%
FTX Token,FTT,"$324,371,359",$3.44,"94,346,958 FTT *","$7,428,879",-0.11%,2.17%,-12.11%
Aave,AAVE,"$310,254,244",$27.46,"11,297,975 AAVE *","$52,481,559",3.96%,-0.87%,-7.26%
Synthetix Network Token,SNX,"$291,629,284",$2.78,"104,916,124 SNX *","$30,699,901",6.73%,11.21%,-21.00%
HedgeTrade,HEDG,"$289,831,867",$0.854378,"339,231,468 HEDG *","$677,763",-9.64%,16.47%,33.13%
HUSD,HUSD,"$282,756,406",$0.998763,"283,106,672 HUSD *","$54,532,273",-0.12%,-0.11%,-0.10%
BitTorrent,BTT,"$275,631,305",$0.000278,"989,966,742,455 BTT *","$49,290,631",0.68%,1.47%,-7.28%
Basic Attention Token,BAT,"$273,954,761",$0.184249,"1,486,868,945 BAT *","$173,901,323",-0.08%,3.34%,-4.26%
Algorand,ALGO,"$266,302,512",$0.239718,"1,110,899,099 ALGO","$39,061,253",-0.23%,4.53%,-10.62%
DigiByte,DGB,"$263,224,744",$0.019191,"13,716,251,161 DGB","$6,010,359",-0.04%,-0.45%,-12.06%
TrueUSD,TUSD,"$263,091,571",$0.998814,"263,404,074 TUSD *","$91,547,298",-0.08%,0.03%,-0.02%
OKB,OKB,"$258,254,347",$4.30,"60,000,000 OKB *","$46,146,379",0.65%,3.40%,-6.89%
Kusama,KSM,"$249,526,619",$29.46,"8,470,098 KSM *","$21,579,565",0.70%,4.14%,-1.25%
yearn.finance,YFI,"$255,125,507","$8,513.35","29,968 YFI *","$241,708,527",7.03%,-0.91%,-26.58%
Paxos Standard,PAX,"$244,028,715",$0.996231,"244,951,954 PAX *","$309,209,003",-0.10%,-0.57%,-0.20%
ABBC Coin,ABBC,"$240,460,936",$0.341534,"704,062,328 ABBC","$39,302,672",-3.51%,-9.28%,-13.97%
0x,ZRX,"$239,593,086",$0.322061,"743,937,911 ZRX *","$30,917,566",1.20%,4.63%,-2.03%
